,dates,close
0,2022-08-01,1806.1007
1,2022-08-02,1803.6736
2,2022-08-03,1795.8115
3,2022-08-04,1780.2625
4,2022-08-05,1759.6117
5,2022-08-08,1726.1461
6,2022-08-09,1718.3815
7,2022-08-10,1718.4194
8,2022-08-11,1713.7899
9,2022-08-12,1708.0381
10,2022-08-15,1704.9325
11,2022-08-16,1693.1213
12,2022-08-17,1684.4697
13,2022-08-18,1686.7567
14,2022-08-19,1687.1587
15,2022-08-22,1677.6342
16,2022-08-23,1680.671
17,2022-08-24,1701.5726
18,2022-08-25,1700.3723
19,2022-08-26,1696.5812
20,2022-08-29,1703.428
21,2022-08-30,1716.4004
