,dates,close,close_orig
6069,2022-08-01,1705.8613,1724.6
6070,2022-08-02,1696.8884,1738.14
6071,2022-08-03,1708.9308,1710.78
6072,2022-08-04,1684.5486,1697.78
6073,2022-08-05,1672.8967,1700.35
6074,2022-08-08,1675.2035,1683.33
6075,2022-08-09,1659.8956,1715.73
6076,2022-08-10,1688.974,1726.64
6077,2022-08-11,1698.7058,1722.59
6078,2022-08-12,1695.0967,1728.03
6079,2022-08-15,1699.9436,1731.74
6080,2022-08-16,1703.2445,1731.57
6081,2022-08-17,1703.0933,1745.18
6082,2022-08-18,1715.1733,1736.44
6083,2022-08-19,1707.4214,1745.36
6084,2022-08-22,1715.3328,1738.9
6085,2022-08-23,1709.6052,1726.96
6086,2022-08-24,1698.9907,1734.14
6087,2022-08-25,1705.378,1726.53
6088,2022-08-26,1698.6078,1732.47
6089,2022-08-29,1703.8937,1711.92
6090,2022-08-30,1685.5682,1684.85
6091,2022-08-31,1661.2656,1707.39
6092,2022-09-01,1681.5181,1729.77
6093,2022-09-02,1701.2385,1728.27
6094,2022-09-05,1699.9034,1743.36
6095,2022-09-06,1713.3082,1737.61
6096,2022-09-07,1708.2072,1755.48
6097,2022-09-08,1724.0316,1743.86
6098,2022-09-09,1713.7513,1732.81
6099,2022-09-12,1703.9425,1745.39
6100,2022-09-13,1715.1068,1736.34
6101,2022-09-14,1707.0795,1763.63
6102,2022-09-15,1731.2207,1776.93
6103,2022-09-16,1742.9147,1771.38
6104,2022-09-19,1738.0405,1778.75
6105,2022-09-20,1744.5111,1793.69
6106,2022-09-21,1757.5831,1784.1
6107,2022-09-22,1749.1991,1776.56
6108,2022-09-23,1742.59,1781.33
6109,2022-09-26,1746.773,1776.57
6110,2022-09-27,1742.5986,1781.73
6111,2022-09-28,1747.1234,1771.96
6112,2022-09-29,1738.5541,1768.88
6113,2022-09-30,1735.85,1793.0
6114,2022-10-03,1757.0287,1778.71
6115,2022-10-04,1744.5243,1786.91
6116,2022-10-05,1751.7065,1814.91
6117,2022-10-06,1776.0928,1831.38
6118,2022-10-07,1790.3364,1835.7
6119,2022-10-10,1794.0598,1837.42
6120,2022-10-11,1795.5408,1815.42
6121,2022-10-12,1776.5352,1826.46
6122,2022-10-13,1786.0892,1843.34
6123,2022-10-14,1800.6317,1866.8
6124,2022-10-17,1820.7094,1869.52
6125,2022-10-18,1823.027,1869.35
6126,2022-10-19,1822.8822,1877.05
6127,2022-10-20,1829.432,1881.34
6128,2022-10-21,1833.0739,1880.83
6129,2022-10-24,1832.6411,1899.15
6130,2022-10-25,1848.1356,1896.64
6131,2022-10-26,1846.0186,1896.54
6132,2022-10-27,1845.9342,1903.83
6134,2022-10-28,1852.0818,1900.37
6135,2022-10-31,1848.8945,1908.29
6136,2022-11-01,1855.5607,1870.5
6137,2022-11-02,1823.5894,1891.5
6138,2022-11-03,1841.4071,1899.0
6139,2022-11-04,1847.7396,1892.86
6140,2022-11-07,1842.5566,1888.6
6141,2022-11-08,1838.9542,1898.44
6142,2022-11-09,1847.2672,1876.19
6143,2022-11-10,1828.4298,1866.09
6144,2022-11-11,1819.8315,1858.75
6145,2022-11-14,1813.5645,1811.95
6146,2022-11-15,1773.2477,1773.15
6147,2022-11-16,1739.3483,1764.2
6148,2022-11-17,1731.4744,1782.97
6149,2022-11-18,1747.9625,1778.76
6150,2022-11-21,1744.2727,1778.86
6151,2022-11-22,1744.3604,1774.95
6152,2022-11-23,1740.9291,1781.26
6153,2022-11-24,1746.4645,1778.08
6154,2022-11-25,1743.6761,1761.12
6155,2022-11-28,1728.7599,1770.37
6156,2022-11-29,1736.9125,1776.73
6157,2022-11-30,1743.4781,1787.47
6159,2022-12-01,1752.8848,1797.13
6160,2022-12-02,1761.3187,1803.66
6161,2022-12-05,1767.0056,1802.36
6162,2022-12-06,1765.8744,1808.28
6163,2022-12-07,1771.0219,1806.12
6164,2022-12-08,1769.1449,1807.6
