,dates,close,close_orig
6361,2022-08-01,1883.8173,1978.63
6362,2022-08-02,1886.1569,1950.12
6363,2022-08-03,1869.7323,1957.52
6364,2022-08-04,1869.805,1951.2
6365,2022-08-05,1866.8501,1930.94
6366,2022-08-08,1853.0365,1897.91
6367,2022-08-09,1829.6205,1905.17
6368,2022-08-10,1827.7725,1885.88
6369,2022-08-11,1816.8774,1894.57
6370,2022-08-12,1818.9915,1896.23
6371,2022-08-15,1821.3428,1862.84
6372,2022-08-16,1801.1001,1868.21
6373,2022-08-17,1798.712,1881.23
6374,2022-08-18,1807.8949,1877.1
6375,2022-08-19,1807.4575,1882.61
6376,2022-08-22,1809.8733,1853.83
6377,2022-08-23,1792.7126,1838.24
6378,2022-08-24,1777.6687,1852.44
6379,2022-08-25,1783.7908,1821.8
6380,2022-08-26,1766.2656,1811.34
6381,2022-08-29,1754.3944,1823.93
6382,2022-08-30,1760.8344,1815.04
6383,2022-08-31,1757.3184,1816.52
6384,2022-09-01,1756.1553,1842.1
6385,2022-09-02,1772.8778,1846.3
6386,2022-09-05,1779.9506,1853.49
6387,2022-09-06,1786.1993,1866.4
6388,2022-09-07,1795.1511,1853.22
6389,2022-09-08,1788.8145,1850.68
6390,2022-09-09,1785.1469,1853.0
6392,2022-09-12,1786.5614,1837.46
6393,2022-09-13,1777.2491,1846.42
6394,2022-09-14,1779.788,1868.54
6395,2022-09-15,1795.8103,1850.9
6396,2022-09-16,1788.2147,1841.54
6397,2022-09-19,1778.8508,1852.38
6398,2022-09-20,1784.2773,1853.12
6399,2022-09-21,1786.6213,1847.98
6400,2022-09-22,1783.1011,1871.38
6401,2022-09-23,1797.0238,1819.36
6402,2022-09-26,1768.2943,1808.24
6403,2022-09-27,1751.0245,1833.86
6404,2022-09-28,1765.898,1856.65
6405,2022-09-29,1784.8319,1840.08
6407,2022-09-30,1778.2179,1833.06
6408,2022-10-03,1770.838,1837.84
6409,2022-10-04,1773.2043,1822.59
6410,2022-10-05,1764.287,1826.98
6411,2022-10-06,1764.7949,1822.63
6412,2022-10-07,1764.0022,1819.9
6413,2022-10-10,1759.7488,1817.8
6414,2022-10-11,1758.0132,1807.12
6415,2022-10-12,1750.7456,1808.94
6417,2022-10-13,1750.6864,1764.58
6418,2022-10-14,1722.1699,1739.08
6419,2022-10-17,1697.8733,1740.09
6420,2022-10-18,1693.8162,1742.45
6421,2022-10-19,1695.4031,1734.02
6422,2022-10-20,1689.8032,1726.09
6423,2022-10-21,1683.3531,1735.56
6424,2022-10-24,1688.2074,1709.72
6425,2022-10-25,1672.7233,1707.32
6426,2022-10-26,1666.6788,1708.99
6427,2022-10-27,1666.8114,1711.56
6428,2022-10-28,1669.2886,1696.53
6429,2022-10-31,1659.6189,1718.22
6430,2022-11-01,1671.7166,1727.38
6431,2022-11-02,1681.7224,1719.64
6432,2022-11-03,1678.1216,1717.2
6433,2022-11-04,1675.0531,1734.33
6434,2022-11-07,1686.3551,1755.83
6435,2022-11-08,1704.0719,1766.0
