,dates,close,close_orig
6413,2022-08-01,1763.3619,1817.8
6414,2022-08-02,1761.4696,1807.12
6415,2022-08-03,1755.9088,1808.94
6417,2022-08-04,1752.7972,1764.58
6418,2022-08-05,1733.5795,1739.08
6419,2022-08-08,1705.4716,1740.09
6420,2022-08-09,1695.4003,1742.45
6421,2022-08-10,1696.6827,1734.02
6422,2022-08-11,1693.0859,1726.09
6423,2022-08-12,1686.4547,1735.56
6424,2022-08-15,1687.6041,1709.72
6425,2022-08-16,1679.8953,1707.32
6426,2022-08-17,1668.6631,1708.99
6427,2022-08-18,1667.7864,1711.56
6428,2022-08-19,1670.1895,1696.53
6429,2022-08-22,1664.0189,1718.22
6430,2022-08-23,1667.7113,1727.38
6431,2022-08-24,1680.6146,1719.64
6432,2022-08-25,1680.7432,1717.2
6433,2022-08-26,1676.5442,1734.33
6434,2022-08-29,1683.6183,1755.83
6435,2022-08-30,1700.4425,1766.0
