,dates,close,close_orig
6413,2022-08-01,1805.3705,1817.8
6414,2022-08-02,1798.4417,1807.12
6415,2022-08-03,1799.191,1808.94
6417,2022-08-04,1795.9384,1764.58
6418,2022-08-05,1793.0098,1739.08
6419,2022-08-08,1788.5206,1740.09
6420,2022-08-09,1779.5574,1742.45
6421,2022-08-10,1769.6681,1734.02
6422,2022-08-11,1741.6534,1726.09
6423,2022-08-12,1728.96,1735.56
6424,2022-08-15,1729.0011,1709.72
6425,2022-08-16,1727.5383,1707.32
6426,2022-08-17,1721.4554,1708.99
6427,2022-08-18,1717.0632,1711.56
6428,2022-08-19,1715.4984,1696.53
6429,2022-08-22,1701.8958,1718.22
6430,2022-08-23,1700.9738,1727.38
6431,2022-08-24,1701.7157,1719.64
6432,2022-08-25,1701.8236,1717.2
6433,2022-08-26,1700.0293,1734.33
6434,2022-08-29,1712.5685,1755.83
6435,2022-08-30,1715.787,1766.0
