,dates,close,close_orig
6298,2022-05-02,1767.0645,1813.65
6299,2022-05-03,1763.8456,1840.37
6300,2022-05-04,1786.8441,1839.47
6301,2022-05-05,1786.0718,1834.39
6302,2022-05-06,1781.7091,1843.0
6303,2022-05-09,1789.1001,1847.98
6304,2022-05-10,1793.3683,1819.47
6305,2022-05-11,1768.867,1797.13
6306,2022-05-12,1749.5568,1791.81
6307,2022-05-13,1744.9441,1797.3
6308,2022-05-16,1749.704,1801.03
6309,2022-05-17,1753.1149,1806.79
6310,2022-05-18,1758.0984,1804.81
6311,2022-05-19,1756.3861,1808.2
6312,2022-05-20,1759.3174,1820.49
6313,2022-05-23,1769.9258,1825.97
6314,2022-05-24,1774.6462,1832.91
6315,2022-05-25,1780.6161,1826.63
6316,2022-05-26,1775.2144,1859.0
6317,2022-05-27,1802.9734,1871.35
6318,2022-05-30,1813.5088,1853.5
6319,2022-05-31,1798.2715,1869.64
6320,2022-06-01,1812.0519,1898.41
6321,2022-06-02,1836.4845,1897.46
6323,2022-06-03,1835.6804,1898.51
6324,2022-06-06,1836.5691,1909.04
6325,2022-06-07,1845.4688,1903.93
6326,2022-06-08,1841.1528,1888.71
6327,2022-06-09,1828.2659,1908.93
6328,2022-06-10,1845.376,1945.01
6329,2022-06-13,1876.7148,1928.59
6330,2022-06-14,1862.9547,1936.23
6331,2022-06-15,1869.3641,1970.46
6332,2022-06-16,1897.9285,1997.6
6333,2022-06-17,1920.3971,2049.7
6334,2022-06-20,1963.0759,1991.85
6335,2022-06-21,1915.6503,1996.7
6336,2022-06-22,1919.6545,1987.31
6337,2022-06-23,1911.8971,1950.72
6338,2022-06-24,1881.4865,1917.69
6339,2022-06-27,1853.7892,1926.11
6340,2022-06-28,1860.8716,1942.49
6341,2022-06-29,1874.4227,1919.98
6342,2022-06-30,1855.5317,1935.89
6343,2022-07-01,1868.8949,1921.36
6344,2022-07-04,1856.693,1944.2
6345,2022-07-05,1875.8534,1957.59
6346,2022-07-06,1887.0347,1957.78
6347,2022-07-07,1887.1931,1922.67
6348,2022-07-08,1857.7949,1919.5
6349,2022-07-11,1855.1278,1932.64
6350,2022-07-12,1866.1694,1937.11
6351,2022-07-13,1869.9175,1924.35
6352,2022-07-14,1857.3188,1932.73
6353,2022-07-15,1864.3604,1923.43
6354,2022-07-18,1856.545,1925.26
6355,2022-07-19,1858.0845,1931.45
6356,2022-07-20,1863.2858,1946.12
6357,2022-07-21,1875.5809,1953.63
6358,2022-07-22,1881.8574,1966.48
6359,2022-07-25,1892.5687,1978.16
6360,2022-07-26,1902.2742,1973.37
6361,2022-07-27,1898.2976,1978.63
6362,2022-07-28,1902.6642,1950.12
6363,2022-07-29,1878.9254,1957.52
6364,2022-08-01,1885.1038,1951.2
6365,2022-08-02,1879.8278,1930.94
6366,2022-08-03,1862.8577,1897.91
6367,2022-08-04,1835.0062,1905.17
6368,2022-08-05,1841.1473,1885.88
6369,2022-08-08,1824.806,1894.57
6370,2022-08-09,1832.1772,1896.23
