,dates,close,close_orig
6349,2022-05-02,1851.0417,1932.64
6350,2022-05-03,1861.9696,1937.11
6351,2022-05-04,1865.6769,1924.35
6352,2022-05-05,1855.1531,1932.73
6353,2022-05-06,1862.1166,1923.43
6354,2022-05-09,1854.3875,1925.26
6355,2022-05-10,1855.9102,1931.45
6356,2022-05-11,1861.0542,1946.12
6357,2022-05-12,1873.2058,1953.63
6358,2022-05-13,1879.4052,1966.48
6359,2022-05-16,1889.9785,1978.16
6360,2022-05-17,1899.5516,1973.37
6361,2022-05-18,1895.63,1978.63
6362,2022-05-19,1899.9362,1950.12
6363,2022-05-20,1876.5096,1957.52
6364,2022-05-23,1882.6105,1951.2
6365,2022-05-24,1877.401,1930.94
6366,2022-05-25,1860.6307,1897.91
6367,2022-05-26,1833.0645,1905.17
6368,2022-05-27,1839.1473,1885.88
6369,2022-05-30,1822.9556,1894.57
6370,2022-05-31,1830.2614,1896.23
