,dates,close,close_orig
6413,2022-08-01,1733.4354,1817.8
6414,2022-08-02,1731.7263,1807.12
6415,2022-08-03,1723.019,1808.94
6417,2022-08-04,1727.5616,1764.58
6418,2022-08-05,1691.193,1739.08
6419,2022-08-08,1670.1042,1740.09
6420,2022-08-09,1670.9421,1742.45
6421,2022-08-10,1672.8989,1734.02
6422,2022-08-11,1665.904,1726.09
6423,2022-08-12,1659.3112,1735.56
6424,2022-08-15,1667.1829,1709.72
6425,2022-08-16,1645.6625,1707.32
6426,2022-08-17,1643.657,1708.99
6427,2022-08-18,1645.0525,1711.56
6428,2022-08-19,1647.1992,1696.53
6429,2022-08-22,1634.627,1718.22
6430,2022-08-23,1652.756,1727.38
6431,2022-08-24,1660.3845,1719.64
6432,2022-08-25,1653.9396,1717.2
6433,2022-08-26,1651.9056,1734.33
6434,2022-08-29,1666.1615,1755.83
6435,2022-08-30,1683.4417,1766.0
