,dates,close,close_orig
6349,2022-05-02,1852.6302,1932.64
6350,2022-05-03,1862.8427,1937.11
6351,2022-05-04,1866.3011,1924.35
6352,2022-05-05,1855.1508,1932.73
6353,2022-05-06,1861.6608,1923.43
6354,2022-05-09,1854.4343,1925.26
6355,2022-05-10,1855.859,1931.45
6356,2022-05-11,1860.6682,1946.12
6357,2022-05-12,1872.0048,1953.63
6358,2022-05-13,1877.775,1966.48
6359,2022-05-16,1887.5956,1978.16
6360,2022-05-17,1896.4646,1973.37
6361,2022-05-18,1892.834,1978.63
6362,2022-05-19,1896.8203,1950.12
6363,2022-05-20,1875.0809,1957.52
6364,2022-05-23,1880.7549,1951.2
6365,2022-05-24,1875.9104,1930.94
6366,2022-05-25,1860.2726,1897.91
6367,2022-05-26,1834.4274,1905.17
6368,2022-05-27,1840.1453,1885.88
6369,2022-05-30,1824.9067,1894.57
6370,2022-05-31,1831.7898,1896.23
