,dates,close,close_orig
6413,2022-08-01,1811.289,1817.8
6414,2022-08-02,1807.9376,1807.12
6415,2022-08-03,1804.9613,1808.94
6417,2022-08-04,1804.5973,1764.58
6418,2022-08-05,1798.9675,1739.08
6419,2022-08-08,1792.9188,1740.09
6420,2022-08-09,1781.6207,1742.45
6421,2022-08-10,1765.5559,1734.02
6422,2022-08-11,1747.0223,1726.09
6423,2022-08-12,1727.8032,1735.56
6424,2022-08-15,1722.4335,1709.72
6425,2022-08-16,1720.4856,1707.32
6426,2022-08-17,1715.699,1708.99
6427,2022-08-18,1710.083,1711.56
6428,2022-08-19,1704.84,1696.53
6429,2022-08-22,1697.7047,1718.22
6430,2022-08-23,1693.1271,1727.38
6431,2022-08-24,1693.8912,1719.64
6432,2022-08-25,1692.8927,1717.2
6433,2022-08-26,1691.3853,1734.33
6434,2022-08-29,1696.8652,1755.83
6435,2022-08-30,1706.889,1766.0
