,dates,close,close_orig
6361,2022-08-01,1904.1897,1978.63
6362,2022-08-02,1910.828,1950.12
6363,2022-08-03,1911.53,1957.52
6364,2022-08-04,1911.9034,1951.2
6365,2022-08-05,1899.8226,1930.94
6366,2022-08-08,1893.3628,1897.91
6367,2022-08-09,1889.9155,1905.17
6368,2022-08-10,1878.4377,1885.88
6369,2022-08-11,1860.1921,1894.57
6370,2022-08-12,1852.3442,1896.23
6371,2022-08-15,1846.5444,1862.84
6372,2022-08-16,1843.9642,1868.21
6373,2022-08-17,1846.907,1881.23
6374,2022-08-18,1831.6757,1877.1
6375,2022-08-19,1826.4746,1882.61
6376,2022-08-22,1834.2848,1853.83
6377,2022-08-23,1839.1602,1838.24
6378,2022-08-24,1833.4834,1852.44
6379,2022-08-25,1822.4712,1821.8
6380,2022-08-26,1809.5067,1811.34
6381,2022-08-29,1806.0518,1823.93
6382,2022-08-30,1796.5375,1815.04
6383,2022-08-31,1783.0455,1816.52
6384,2022-09-01,1783.332,1842.1
6385,2022-09-02,1787.8269,1846.3
6386,2022-09-05,1787.4155,1853.49
6387,2022-09-06,1798.8531,1866.4
6388,2022-09-07,1808.8987,1853.22
6389,2022-09-08,1816.2394,1850.68
6390,2022-09-09,1819.8887,1853.0
6392,2022-09-12,1816.7942,1837.46
6393,2022-09-13,1812.9996,1846.42
6394,2022-09-14,1813.5399,1868.54
6395,2022-09-15,1808.5197,1850.9
6396,2022-09-16,1808.8905,1841.54
6397,2022-09-19,1819.1838,1852.38
6398,2022-09-20,1817.886,1853.12
6399,2022-09-21,1810.341,1847.98
6400,2022-09-22,1811.1537,1871.38
6401,2022-09-23,1814.3018,1819.36
6402,2022-09-26,1812.9813,1808.24
6403,2022-09-27,1814.0143,1833.86
6404,2022-09-28,1802.6521,1856.65
6405,2022-09-29,1785.9973,1840.08
6407,2022-09-30,1794.7578,1833.06
6408,2022-10-03,1807.8303,1837.84
6409,2022-10-04,1808.5,1822.59
6410,2022-10-05,1802.1056,1826.98
6411,2022-10-06,1800.9794,1822.63
6412,2022-10-07,1797.3962,1819.9
6413,2022-10-10,1794.0641,1817.8
6414,2022-10-11,1795.4172,1807.12
6415,2022-10-12,1790.505,1808.94
6417,2022-10-13,1787.3364,1764.58
6418,2022-10-14,1779.8264,1739.08
6419,2022-10-17,1768.2556,1740.09
6420,2022-10-18,1750.1521,1742.45
6421,2022-10-19,1726.8807,1734.02
6422,2022-10-20,1720.5172,1726.09
6423,2022-10-21,1719.8306,1735.56
6424,2022-10-24,1715.6731,1709.72
6425,2022-10-25,1710.7119,1707.32
6426,2022-10-26,1706.6979,1708.99
6427,2022-10-27,1698.5465,1711.56
6428,2022-10-28,1692.2585,1696.53
6429,2022-10-31,1693.671,1718.22
6430,2022-11-01,1692.3683,1727.38
6431,2022-11-02,1688.138,1719.64
6432,2022-11-03,1692.8036,1717.2
6433,2022-11-04,1705.2443,1734.33
6434,2022-11-07,1704.4451,1755.83
6435,2022-11-08,1703.702,1766.0
