date,Gold Price,CPI,FedFunds,crude oil,exchange_rate_index,SP500
01/01/2001,265.49,0.63218390804597200,5.98,29.59,123.08,1366.01
01/02/2001,261.87,0.39977155910909000,5.49,29.61,124.08,1239.94
01/03/2001,263.03,0.22753128555174900,5.31,27.25,126.12,1160.33
01/04/2001,260.48,0.39727582292850000,4.80,27.49,127.03,1249.46
01/05/2001,272.36,0.45223289994345800,4.21,28.63,126.85,1255.82
01/06/2001,270.23,0.16882386043895000,3.97,27.60,127.80,1224.38
01/07/2001,267.53,-0.28089887640448800,3.77,26.43,128.17,1211.23
01/08/2001,272.39,0.00000000000000000,3.65,27.37,125.95,1133.58
01/09/2001,283.42,0.45070422535211400,3.07,26.20,126.48,1040.94
01/10/2001,283.06,-0.33651149747618000,2.49,22.17,126.81,1059.78
01/11/2001,276.16,-0.16882386043893500,2.09,19.64,127.42,1139.45
01/12/2001,275.85,-0.39458850056370700,1.82,19.39,126.91,1148.08
01/01/2002,281.51,0.22637238256932800,1.73,19.72,128.23,1130.2
01/02/2002,295.5,0.39525691699607100,1.74,20.72,129.03,1106.73
01/03/2002,294.06,0.56242969628796600,1.73,24.53,128.73,1147.39
01/04/2002,302.68,0.55928411633108400,1.75,26.18,128.44,1076.92
01/05/2002,314.49,0.00000000000000000,1.75,27.04,126.64,1067.14
01/06/2002,321.18,0.05561735261402310,1.75,25.52,125.19,989.82
01/07/2002,313.29,0.11117287381877400,1.73,26.97,123.51,911.62
01/08/2002,310.26,0.33314825097168400,1.74,28.39,124.97,916.07
01/09/2002,319.14,0.16602102933039000,1.75,29.66,125.57,815.28
01/10/2002,316.56,0.16574585635359900,1.75,28.84,126.47,885.76
01/11/2002,319.07,0.00000000000000000,1.34,26.35,124.86,936.31
01/12/2002,331.92,-0.22062879205736400,1.24,29.46,123.76,879.82
01/01/2003,356.86,0.44223327805416100,1.24,32.95,122.13,855.7
01/02/2003,358.97,0.77050082553660200,1.26,35.83,122.52,841.15
01/03/2003,340.55,0.60076460950299900,1.25,33.51,122.36,848.18
01/04/2003,328.18,-0.21715526601518700,1.26,28.17,121.15,916.92
01/05/2003,355.68,-0.16322089227421900,1.26,28.11,116.83,963.59
01/06/2003,356.35,0.10899182561307900,1.22,30.66,116.82,974.5
01/07/2003,351.02,0.10887316276537900,1.01,30.76,118.09,990.31
01/08/2003,359.77,0.38064165307231600,1.03,31.57,119.70,1008.01
01/09/2003,378.95,0.32502708559046700,1.01,28.31,118.38,995.97
01/10/2003,378.92,-0.10799136069114500,1.01,30.34,115.67,1050.71
01/11/2003,389.91,-0.27027027027026400,1.00,31.11,114.83,1058.2
01/12/2003,406.95,-0.10840108401084100,0.98,32.13,112.86,1111.92
01/01/2004,413.79,0.48833423765599000,1.00,34.31,111.25,1131.13
01/02/2004,404.88,0.53995680345571200,1.01,34.69,112.04,1144.94
01/03/2004,406.67,0.64446831364126300,1.00,36.74,113.53,1126.21
01/04/2004,403.26,0.32017075773746100,1.00,36.75,114.35,1107.3
01/05/2004,383.78,0.58510638297871900,1.00,40.28,116.60,1120.68
01/06/2004,392.37,0.31729243786356600,1.03,38.03,115.81,1140.84
01/07/2004,398.09,-0.15814443858723700,1.26,40.78,114.72,1101.72
01/08/2004,400.51,0.05279831045405870,1.43,44.90,114.80,1104.24
01/09/2004,405.28,0.21108179419525200,1.61,45.94,114.14,1114.58
01/10/2004,420.46,0.52659294365455700,1.76,53.28,112.77,1130.2
01/11/2004,439.38,0.05238344683080860,1.93,48.47,109.64,1173.82
01/12/2004,442.08,-0.36649214659685300,2.16,43.15,107.86,1211.92
01/01/2005,424.03,0.21019442984759600,2.28,46.84,108.68,1181.27
01/02/2005,423.35,0.57682223387520600,2.50,48.15,108.89,1203.6
