Date,Price,Open,High,Low,Vol.,Change %
2022-03-31,1949.2,1933.5,1949.9,1919.1,3.62K,0.81%
2022-03-30,1933.5,1918.4,1937.0,1914.5,17.77K,1.11%
2022-03-29,1912.2,1922.4,1929.4,1888.3,128.05K,-1.42%
2022-03-28,1939.8,1958.7,1959.8,1915.7,181.37K,-0.74%
2022-03-25,1954.2,1957.8,1965.1,1942.6,147.90K,-0.41%
2022-03-24,1962.2,1944.1,1967.2,1937.4,181.20K,1.29%
2022-03-23,1937.3,1920.9,1948.8,1915.6,153.31K,0.82%
2022-03-22,1921.5,1936.1,1939.5,1909.8,153.28K,-0.41%
2022-03-21,1929.5,1922.4,1941.8,1917.2,146.41K,0.01%
2022-03-18,1929.3,1943.9,1946.2,1918.0,150.88K,-0.72%
2022-03-17,1943.2,1928.4,1951.0,1924.0,149.83K,1.78%
2022-03-16,1909.2,1920.1,1930.1,1895.2,195.46K,-1.06%
2022-03-15,1929.7,1953.7,1956.9,1908.1,220.37K,-1.59%
2022-03-14,1960.8,1988.7,1994.8,1952.0,162.20K,-1.22%
2022-03-11,1985.0,2000.3,2004.0,1960.6,262.09K,-0.77%
2022-03-10,2000.4,1992.8,2015.1,1975.0,303.27K,0.61%
2022-03-09,1988.2,2060.2,2068.5,1981.0,360.35K,-2.70%
2022-03-08,2043.3,2001.0,2078.8,1985.8,447.65K,2.37%
2022-03-07,1995.9,1978.5,2007.5,1964.2,372.19K,1.49%
2022-03-04,1966.6,1938.5,1974.9,1931.5,241.53K,1.59%
2022-03-03,1935.9,1931.7,1944.6,1923.1,180.21K,0.71%
2022-03-02,1922.3,1945.3,1951.4,1916.0,227.98K,-1.11%
2022-03-01,1943.8,1908.4,1952.6,1903.0,224.00K,2.27%
2022-02-28,1900.7,1921.0,1935.2,1892.2,249.27K,0.69%
2022-02-25,1887.6,1906.5,1925.0,1884.4,229.78K,-2.01%
2022-02-24,1926.3,1911.9,1976.5,1878.6,423.05K,0.83%
2022-02-23,1910.4,1901.2,1912.9,1891.1,154.84K,0.16%
2022-02-22,1907.4,1903.5,1918.3,1889.7,334.59K,-0.24%
2022-02-21,1912.05,1907.8,1918.3,1889.7,-,0.21%
2022-02-20,1908.0,1900.8,1909.35,1900.8,-,0.43%
2022-02-18,1899.8,1901.4,1905.0,1888.0,161.75K,-0.12%
2022-02-17,1902.0,1872.0,1904.0,1869.7,268.55K,1.63%
2022-02-16,1871.5,1855.5,1874.6,1851.8,141.49K,0.82%
2022-02-15,1856.2,1873.8,1881.6,1845.4,214.88K,-0.71%
2022-02-14,1869.4,1862.2,1876.5,1851.9,231.02K,1.48%
2022-02-11,1842.1,1827.0,1867.4,1821.1,239.09K,0.26%
2022-02-10,1837.4,1834.0,1843.3,1821.8,227.46K,0.04%
2022-02-09,1836.6,1827.0,1837.1,1825.5,136.72K,0.48%
2022-02-08,1827.9,1821.5,1829.9,1816.0,142.41K,0.33%
2022-02-07,1821.8,1808.0,1824.6,1807.5,139.81K,0.77%
2022-02-04,1807.8,1805.4,1815.8,1792.1,177.71K,0.21%
2022-02-03,1804.1,1807.4,1809.5,1788.5,173.72K,-0.34%
2022-02-02,1810.3,1800.8,1812.0,1794.6,123.02K,0.49%
