,date,open,high,low,close,tick_volume,spread,real_volume
0,2012-08-06,1397.9,1398.9,1397.7,1398.4,191,0,0
1,2012-08-07,1393.2,1407.2,1391.4,1400.2,2461,0,0
2,2012-08-08,1400.4,1403.4,1393.9,1400.2,1881,0,0
3,2012-08-09,1399.9,1406.7,1396.7,1403.0,1691,0,0
4,2012-08-10,1403.4,1403.4,1398.4,1399.2,581,0,0
5,2012-08-13,1404.4,1406.7,1396.9,1404.4,1961,0,0
6,2012-08-14,1404.5,1412.2,1400.3,1402.2,2151,0,0
7,2012-08-15,1401.9,1407.9,1399.4,1406.2,1271,0,0
8,2012-08-16,1406.4,1417.4,1404.2,1415.4,1741,0,0
9,2012-08-17,1415.7,1415.7,1413.9,1414.4,231,0,0
10,2012-08-20,1416.9,1419.7,1411.4,1417.2,1631,0,0
11,2012-08-21,1417.0,1426.8,1410.3,1413.1,2911,0,0
12,2012-08-22,1412.9,1415.9,1406.4,1414.4,1751,0,0
13,2012-08-23,1414.6,1419.9,1400.3,1403.5,2811,0,0
14,2012-08-24,1403.7,1404.0,1402.2,1403.2,311,0,0
15,2012-08-27,1414.7,1417.8,1408.9,1410.4,1351,0,0
16,2012-08-28,1410.3,1413.9,1405.2,1410.9,1681,0,0
17,2012-08-29,1411.2,1413.8,1406.2,1408.2,1221,0,0
18,2012-08-30,1408.0,1408.2,1396.7,1397.2,1221,0,0
19,2012-08-31,1397.4,1399.9,1396.9,1398.7,471,0,0
20,2012-09-03,1405.9,1410.4,1397.9,1407.9,2301,0,0
21,2012-09-04,1408.2,1410.4,1395.9,1405.4,2621,0,0
22,2012-09-05,1405.2,1408.8,1398.2,1404.5,2051,0,0
23,2012-09-06,1404.2,1433.5,1404.0,1431.7,3151,0,0
24,2012-09-07,1431.5,1433.0,1431.2,1432.5,261,0,0
25,2012-09-10,1437.3,1438.5,1425.0,1426.7,1641,0,0
26,2012-09-11,1427.0,1438.0,1422.2,1429.2,2941,0,0
27,2012-09-12,1428.9,1439.9,1428.9,1439.2,1171,0,0
28,2012-09-13,1438.9,1463.7,1434.9,1459.0,3751,0,0
29,2012-09-14,1458.9,1460.9,1458.9,1460.2,271,0,0
30,2012-09-17,1464.0,1465.3,1457.2,1461.2,1341,0,0
31,2012-09-18,1461.4,1462.9,1455.7,1460.7,1371,0,0
32,2012-09-19,1460.5,1465.3,1457.5,1459.4,1451,0,0
33,2012-09-20,1459.5,1462.4,1449.6,1461.4,2371,0,0
34,2012-09-21,1461.2,1464.1,1461.1,1463.4,381,0,0
35,2012-09-24,1458.8,1460.5,1451.1,1458.7,1871,0,0
36,2012-09-25,1458.5,1463.2,1441.4,1444.2,2931,0,0
37,2012-09-26,1443.9,1445.9,1429.9,1435.7,2381,0,0
38,2012-09-27,1435.9,1450.2,1435.2,1448.4,1751,0,0
39,2012-09-28,1448.2,1449.2,1446.4,1447.9,531,0,0
40,2012-10-01,1436.4,1457.2,1433.7,1442.9,4051,0,0
41,2012-10-02,1443.2,1451.7,1438.2,1445.3,2491,0,0
42,2012-10-03,1445.1,1455.0,1440.8,1453.9,1961,0,0
43,2012-10-04,1453.8,1463.4,1450.9,1462.4,1641,0,0
44,2012-10-05,1462.3,1464.2,1461.9,1463.4,351,0,0
45,2012-10-08,1458.4,1459.7,1452.5,1454.4,1041,0,0
46,2012-10-09,1454.7,1459.2,1439.2,1439.4,2471,0,0
47,2012-10-10,1439.3,1442.4,1426.2,1427.4,2051,0,0
48,2012-10-11,1427.2,1443.9,1427.2,1434.9,2571,0,0
49,2012-10-12,1435.2,1439.4,1425.2,1426.3,1951,0,0
50,2012-10-15,1423.2,1441.9,1422.4,1441.7,2051,0,0
51,2012-10-16,1441.8,1456.2,1439.4,1455.7,1971,0,0
52,2012-10-17,1455.5,1462.9,1451.2,1461.2,1771,0,0
53,2012-10-18,1461.0,1464.4,1452.7,1456.4,1881,0,0
54,2012-10-19,1456.7,1458.2,1455.7,1456.4,471,0,0
55,2012-10-22,1428.7,1437.4,1421.7,1436.2,2391,0,0
56,2012-10-23,1435.9,1437.9,1407.0,1413.2,3911,0,0
57,2012-10-24,1412.9,1419.7,1406.7,1410.7,2381,0,0
58,2012-10-25,1410.8,1421.4,1401.9,1411.4,3841,0,0
59,2012-10-26,1411.2,1411.7,1406.4,1406.7,611,0,0
60,2012-10-29,1407.7,1411.2,1401.5,1402.5,1421,0,0
61,2012-10-30,1402.4,1417.1,1398.4,1415.6,2421,0,0
62,2012-10-31,1415.4,1422.8,1405.2,1407.0,2681,0,0
63,2012-11-01,1407.2,1430.0,1403.5,1427.7,3251,0,0
64,2012-11-02,1428.0,1429.0,1427.0,1427.2,321,0,0
65,2012-11-05,1408.3,1420.0,1407.3,1415.5,1821,0,0
66,2012-11-06,1415.2,1433.4,1414.6,1426.6,2621,0,0
67,2012-11-07,1426.4,1434.6,1387.2,1396.4,6481,0,0
68,2012-11-08,1396.1,1400.4,1375.9,1379.6,3251,0,0
69,2012-11-09,1379.5,1383.6,1378.4,1381.9,801,0,0
70,2012-11-12,1377.7,1384.8,1375.9,1377.9,1761,0,0
71,2012-11-13,1378.0,1389.1,1368.7,1375.7,3851,0,0
72,2012-11-14,1375.4,1384.4,1352.4,1357.1,4571,0,0
73,2012-11-15,1356.9,1361.6,1347.9,1352.6,2311,0,0
74,2012-11-16,1352.5,1352.6,1350.1,1352.1,461,0,0
75,2012-11-19,1366.8,1387.9,1364.2,1382.9,3131,0,0
76,2012-11-20,1383.2,1389.9,1376.4,1387.9,2231,0,0
77,2012-11-21,1388.2,1394.2,1379.7,1393.4,2381,0,0
78,2012-11-22,1393.2,1396.2,1392.4,1393.9,691,0,0
79,2012-11-23,1394.2,1394.2,1392.7,1393.4,221,0,0
80,2012-11-26,1404.0,1407.2,1397.4,1406.9,1671,0,0
81,2012-11-27,1407.2,1409.9,1396.4,1396.7,1651,0,0
82,2012-11-28,1396.9,1409.9,1384.4,1406.0,4191,0,0
83,2012-11-29,1406.2,1419.5,1406.0,1413.2,2001,0,0
84,2012-11-30,1413.0,1415.9,1411.4,1414.7,731,0,0
85,2012-12-03,1414.7,1424.9,1405.9,1407.4,3071,0,0
86,2012-12-04,1407.2,1412.9,1402.4,1403.9,1771,0,0
87,2012-12-05,1403.7,1415.4,1397.7,1408.7,3041,0,0
88,2012-12-06,1408.9,1414.1,1404.4,1414.1,1421,0,0
89,2012-12-07,1413.9,1414.9,1413.1,1413.9,361,0,0
90,2012-12-10,1417.7,1421.7,1411.5,1416.7,1941,0,0
91,2012-12-11,1416.5,1433.7,1415.7,1431.4,2111,0,0
92,2012-12-12,1431.2,1438.6,1425.9,1428.1,2231,0,0
93,2012-12-13,1428.4,1431.2,1415.7,1421.9,2451,0,0
94,2012-12-14,1421.7,1422.7,1416.9,1422.4,1091,0,0
95,2012-12-17,1421.8,1433.9,1414.9,1432.9,2691,0,0
96,2012-12-18,1433.0,1447.9,1430.5,1445.3,2251,0,0
97,2012-12-19,1445.4,1450.2,1431.8,1433.2,2461,0,0
98,2012-12-20,1432.9,1445.3,1431.5,1444.3,1621,0,0
99,2012-12-21,1444.6,1445.3,1443.6,1444.1,291,0,0
100,2012-12-24,1429.4,1429.7,1423.2,1424.5,811,0,0
101,2012-12-26,1429.7,1430.7,1417.7,1418.7,1501,0,0
102,2012-12-27,1418.1,1423.4,1401.1,1420.1,4261,0,0
103,2012-12-28,1419.8,1422.3,1419.1,1420.3,591,0,0
104,2012-12-31,1392.9,1423.2,1388.4,1422.7,3981,0,0
105,2013-01-02,1447.9,1462.7,1443.9,1462.2,2331,0,0
106,2013-01-03,1461.7,1465.2,1456.9,1459.2,1411,0,0
107,2013-01-04,1459.4,1459.7,1457.7,1457.7,231,0,0
