,date,open,high,low,close,tick_volume,spread,real_volume
0,19/04/1998,310.3,315.2,310,312.9,1483,0,0
1,26/04/1998,312.25,313.65,301.1,302.5,3892,0,0
2,03/05/1998,302.45,306,296.6,300.1,3295,0,0
3,10/05/1998,299.55,303.9,295.1,301.5,3560,0,0
4,17/05/1998,301,302.2,297,300.1,2475,0,0
5,24/05/1998,298.85,300.1,290.4,293.2,2925,0,0
6,31/05/1998,292.75,294.65,286.75,291.9,3065,0,0
7,07/06/1998,290.95,299.3,284.5,286.25,5700,0,0
8,14/06/1998,285.25,300.5,283.7,299,4030,0,0
9,21/06/1998,299.29,299.8,291.9,294.1,3096,0,0
10,28/06/1998,292.9,298.7,291.9,295.1,2545,0,0
11,05/07/1998,293.85,296.15,289.5,291.1,2935,0,0
12,12/07/1998,289.6,295.7,288,294.75,2534,0,0
13,19/07/1998,293.45,296.1,290.2,291.7,2355,0,0
14,26/07/1998,291.1,292.4,285.7,286.7,2665,0,0
15,02/08/1998,286.2,290.35,282.5,286.9,3035,0,0
16,09/08/1998,286.1,287.7,282,284.3,2690,0,0
17,16/08/1998,284.2,287.3,282.2,285.05,2870,0,0
18,23/08/1998,283.9,285.55,270.75,274.6,3745,0,0
19,30/08/1998,273.9,287.7,273.8,287.1,3185,0,0
20,06/09/1998,286.5,297.3,282.9,294,4020,0,0
21,13/09/1998,292.45,293.6,286.35,291.7,3350,0,0
22,20/09/1998,290.4,300.3,287.05,294.4,3930,0,0
23,27/09/1998,293.15,303.8,291.6,300.8,3915,0,0
24,04/10/1998,300.1,305.2,293.8,297,3945,0,0
25,11/10/1998,296.75,301.3,294.4,300.2,3100,0,0
26,18/10/1998,299.8,300.3,291.2,293.1,2700,0,0
27,25/10/1998,291.85,295,290.6,292.8,1910,0,0
28,01/11/1998,292.6,295.1,287.6,293.4,2725,0,0
29,08/11/1998,292.4,298,289.5,296.2,3089,0,0
30,15/11/1998,295.5,298.65,293.25,296.4,2465,0,0
31,22/11/1998,295.9,297.7,294.9,296.55,1740,0,0
32,29/11/1998,295.8,296.8,291.2,292.7,2341,0,0
33,06/12/1998,291.8,297.6,289.3,291.1,3165,0,0
34,13/12/1998,291.45,296.7,288.4,289.3,2700,0,0
35,20/12/1998,289.5,291.1,285,286.5,2309,0,0
36,27/12/1998,285.6,289,285.5,288.5,1269,0,0
37,03/01/1999,288.3,292.6,285.9,291.6,2230,0,0
38,10/01/1999,290.9,293.75,284.4,286.7,2620,0,0
39,17/01/1999,285.9,289,285.05,286.6,1995,0,0
40,24/01/1999,286.2,288.7,281.4,286.4,2735,0,0
41,31/01/1999,286.4,290.7,286,288.8,2145,0,0
42,07/02/1999,288.4,290.8,286.2,289.8,1865,0,0
43,14/02/1999,289.15,290.95,284.2,288.6,2340,0,0
44,21/02/1999,287.6,288.9,285.1,287.3,2205,0,0
45,28/02/1999,286.5,289.6,285.1,288.2,2000,0,0
