,time,open,high,low,close,tick_volume,spread,real_volume
0,22/04/1998,310.3,314.4,310,313.5,561,0,0
1,23/04/1998,312.6,315.2,311.9,314.3,491,0,0
2,24/04/1998,313.4,314.2,311.8,312.9,431,0,0
3,27/04/1998,312.25,313.65,308.9,309.9,716,0,0
4,28/04/1998,309.39,310.9,306.3,308.2,802,0,0
5,29/04/1998,307.65,311.4,307,310.5,596,0,0
6,30/04/1998,310.79,312.1,305.5,306.9,932,0,0
7,01/05/1998,306.25,307.2,301.1,302.5,846,0,0
8,04/05/1998,302.45,306,302,304.6,586,0,0
9,05/05/1998,303.65,305.25,302.5,303.6,546,0,0
10,06/05/1998,303.6,304.3,299.4,301,721,0,0
11,07/05/1998,300.45,301.5,296.6,298.75,811,0,0
12,08/05/1998,297.2,301.8,297.2,300.1,631,0,0
13,11/05/1998,299.55,301.6,297.7,300.6,676,0,0
14,12/05/1998,299.8,300.6,296.9,298.2,581,0,0
15,13/05/1998,297.8,300.1,295.2,298.7,891,0,0
16,14/05/1998,297.8,298.8,295.1,298.8,641,0,0
17,15/05/1998,298.6,303.9,298.6,301.5,771,0,0
18,18/05/1998,301,302.2,298.5,299.8,621,0,0
19,19/05/1998,299.15,300.7,298.1,299,506,0,0
20,20/05/1998,297.85,301.4,297,299.9,676,0,0
21,21/05/1998,299.1,300.9,298.7,300.9,261,0,0
22,22/05/1998,301,301.7,299.2,300.1,411,0,0
23,25/05/1998,298.85,299.5,298.8,299.5,76,0,0
24,26/05/1998,299.3,300.1,294.7,295.8,731,0,0
25,27/05/1998,294.75,296.5,290.4,293.35,1081,0,0
26,28/05/1998,294.15,295,292.8,293.45,371,0,0
27,29/05/1998,292.65,294.8,291.2,293.2,666,0,0
28,01/06/1998,292.75,293.4,288.1,288.7,656,0,0
29,02/06/1998,288,292.3,286.75,291.4,771,0,0
30,03/06/1998,290.85,294.65,290,293.4,676,0,0
31,04/06/1998,291.9,293.4,291.4,293.4,251,0,0
32,05/06/1998,292.6,294.2,290.3,291.9,711,0,0
33,08/06/1998,290.95,296.7,289,296.7,966,0,0
34,09/06/1998,294.9,299.3,292.3,293.9,1301,0,0
35,10/06/1998,292.8,295.6,288.65,293.5,1321,0,0
36,11/06/1998,292.35,294.8,286.5,287.3,1156,0,0
37,12/06/1998,286.5,289.4,284.5,286.25,956,0,0
38,15/06/1998,285.25,287.1,283.7,285.1,666,0,0
39,16/06/1998,284.25,289,283.95,288.9,546,0,0
40,17/06/1998,288.85,294.4,287.4,293.7,916,0,0
41,18/06/1998,295.7,296,290.9,293.5,801,0,0
42,19/06/1998,293,300.5,292,299,1101,0,0
43,22/06/1998,299.29,299.8,293.6,296,912,0,0
44,23/06/1998,295.85,296.35,293.4,295.3,536,0,0
45,24/06/1998,293.75,295.4,291.9,293.1,636,0,0
46,25/06/1998,292.45,295.4,292,294.1,516,0,0
47,26/06/1998,293.25,295,292.1,294.1,496,0,0
48,29/06/1998,292.9,294.6,291.9,293.9,441,0,0
49,30/06/1998,293.3,298.3,293.3,297.2,611,0,0
50,01/07/1998,297.65,298.7,295,296.7,646,0,0
51,02/07/1998,295.75,296.9,293.2,294.1,576,0,0
52,03/07/1998,293.5,295.55,293.4,295.1,271,0,0
53,06/07/1998,293.85,294.7,292.2,293.5,466,0,0
54,07/07/1998,293.4,295.9,292.7,295.2,461,0,0
55,08/07/1998,294.9,296.15,290.8,293.5,931,0,0
56,09/07/1998,293,293.9,290.6,292.35,596,0,0
