,date,open,high,low,close,tick_volume,spread,real_volume
0,1984-04-09,0.7444,0.7462,0.7433,0.7442,561,50,0
1,1984-04-10,0.7461,0.7468,0.7441,0.7459,521,50,0
2,1984-04-11,0.7495,0.7495,0.7495,0.7495,1,50,0
3,1984-04-12,0.7471,0.7471,0.7471,0.7471,1,50,0
4,1984-04-13,0.7449,0.7456,0.7448,0.745,151,50,0
5,1984-04-16,0.7426,0.7432,0.7424,0.7427,151,50,0
6,1984-04-17,0.7407,0.7421,0.7404,0.7407,341,50,0
7,1984-04-18,0.7389,0.7391,0.7389,0.739,31,50,0
8,1984-04-19,0.7351,0.7351,0.7351,0.7351,1,50,0
9,1984-04-20,0.7353,0.7382,0.7335,0.735,911,50,0
10,1984-04-23,0.7343,0.7346,0.7333,0.7343,261,50,0
11,1984-04-24,0.729,0.729,0.7287,0.7288,41,50,0
12,1984-04-25,0.7295,0.7297,0.7295,0.7295,41,50,0
13,1984-04-26,0.7253,0.7253,0.7249,0.7253,81,50,0
14,1984-04-27,0.7231,0.7231,0.7231,0.7231,1,50,0
15,1984-04-30,0.7189,0.7189,0.7186,0.7189,61,50,0
16,1984-05-01,0.7169,0.7169,0.7168,0.7169,21,50,0
17,1984-05-02,0.7171,0.7171,0.7171,0.7171,1,50,0
18,1984-05-03,0.7237,0.7245,0.7232,0.7237,261,50,0
19,1984-05-04,0.7183,0.7187,0.7181,0.7182,111,50,0
20,1984-05-07,0.7053,0.7053,0.7053,0.7053,1,50,0
21,1984-05-08,0.7031,0.7034,0.7031,0.7031,61,50,0
22,1984-05-09,0.7067,0.7067,0.7067,0.7067,1,50,0
23,1984-05-10,0.7039,0.7043,0.7039,0.7039,81,50,0
24,1984-05-11,0.7053,0.7058,0.7053,0.7053,101,50,0
25,1984-05-14,0.7099,0.7099,0.7099,0.7099,1,50,0
26,1984-05-15,0.7121,0.7131,0.7101,0.7118,571,50,0
27,1984-05-16,0.7133,0.7147,0.712,0.7131,521,50,0
28,1984-05-17,0.7093,0.711,0.7087,0.7095,441,50,0
29,1984-05-18,0.7046,0.7053,0.7041,0.7046,241,50,0
30,1984-05-21,0.709,0.7098,0.7077,0.7092,401,50,0
31,1984-05-22,0.7113,0.7132,0.7075,0.7112,1131,50,0
32,1984-05-23,0.711,0.7145,0.7091,0.7108,1061,50,0
33,1984-05-24,0.7112,0.7132,0.7078,0.7112,1081,50,0
34,1984-05-25,0.7171,0.7173,0.7171,0.7171,41,50,0
35,1984-05-28,0.717,0.717,0.717,0.717,1,50,0
36,1984-05-29,0.7152,0.7156,0.7143,0.7155,231,50,0
37,1984-05-30,0.715,0.7154,0.7147,0.7151,131,50,0
38,1984-05-31,0.7156,0.7158,0.7147,0.7157,211,50,0
39,1984-06-01,0.7267,0.7287,0.7231,0.7268,1111,50,0
40,1984-06-04,0.7336,0.7336,0.7336,0.7336,1,50,0
41,1984-06-05,0.7293,0.7326,0.7283,0.7294,851,50,0
